Filename,ML Task Feature (Additive - label),ML Task Feature (Additive - concentration),ML Task Feature (Additive - pKa (COOH group)),ML Task Feature (Additive - pKb (NH2 group)),ML Task Feature (Additive - pI),ML Task Feature (Additive - pKc (other group)),ML Task Target (Calcite unit-cell length a),ML Task Target (Calcite unit-cell length c),ML Task Target (Calcite phase present),ML Task Target (Vaterite unit-cell length a),ML Task Target (Vaterite unit-cell length c),ML Task Target (Vaterite phase present),ML Task Target (Degree of Crystallinity),Excluded (True/False),Split (train/test/validation)
578903-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99849,17.05515,TRUE,4.12756,8.47358,TRUE,58.1868,True,
578904-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99629,17.06688,TRUE,4.12781,8.47354,TRUE,60.00528,True,
578905-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99593,17.07706,TRUE,4.12958,8.47126,TRUE,69.2154,True,
578906-mythen_summed.xye,Cys,0.75,1.91,10.28,5.07,8.14,4.99483,17.07949,TRUE,4.12853,8.47139,TRUE,57.49293,True,
578907-mythen_summed.xye,Cys,1,1.91,10.28,5.07,8.14,4.99484,17.08523,TRUE,4.12918,8.47184,TRUE,63.2273,True,
578908-mythen_summed.xye,Cys,1.25,1.91,10.28,5.07,8.14,4.99442,17.0873,TRUE,4.12904,8.47242,TRUE,63.66228,True,
578909-mythen_summed.xye,Cys,1.5,1.91,10.28,5.07,8.14,4.99361,17.08569,TRUE,4.12803,8.47286,TRUE,57.46293,True,
579107-mythen_summed.xye,Cys,0,1.91,10.28,5.07,8.14,4.99636,17.05361,TRUE,,,FALSE,58.48784,True,
579108-mythen_summed.xye,Cys,0.25,1.91,10.28,5.07,8.14,4.99535,17.06287,TRUE,4.12641,8.47289,TRUE,57.76344,True,
579109-mythen_summed.xye,Cys,0.5,1.91,10.28,5.07,8.14,4.99664,17.05515,TRUE,,,FALSE,59.03545,True,
579110-mythen_summed.xye,Cys,0.75,1.91,10.28,5.07,8.14,4.99496,17.08164,TRUE,4.12893,8.46849,TRUE,59.02954,True,
579111-mythen_summed.xye,Cys,1,1.91,10.28,5.07,8.14,4.99543,17.08321,TRUE,,,FALSE,97.91851,True,
579112-mythen_summed.xye,Cys,1.25,1.91,10.28,5.07,8.14,4.99504,17.07026,TRUE,4.12676,8.47258,TRUE,58.94097,True,
579113-mythen_summed.xye,Cys,1.5,1.91,10.28,5.07,8.14,4.99438,17.08004,TRUE,4.12663,8.47323,TRUE,57.41859,True,
579114-mythen_summed.xye,Cys,1.75,1.91,10.28,5.07,8.14,4.9931,17.08781,TRUE,4.12682,8.47341,TRUE,57.19932,True,
579115-mythen_summed.xye,Cys,2,1.91,10.28,5.07,8.14,4.99325,17.08858,TRUE,4.12693,8.47625,TRUE,55.35111,True,
578422-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.9964,17.05789,TRUE,4.1279,8.47377,TRUE,59.39268,False,
578423-mythen_summed.xye,Glu,0.1,2.16,9.58,3.22,4.15,4.99426,17.06425,TRUE,4.12586,8.47637,TRUE,57.23955,False,
578424-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99351,17.0834,TRUE,4.12708,8.47409,TRUE,57.43384,False,
578425-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99362,17.06476,TRUE,4.12348,8.48057,TRUE,60.40657,False,
578426-mythen_summed.xye,Glu,0.3,2.16,9.58,3.22,4.15,4.99314,17.09104,TRUE,,,FALSE,56.84504,False,
578427-mythen_summed.xye,Glu,0.35,2.16,9.58,3.22,4.15,4.99305,17.08884,TRUE,4.12739,8.47333,TRUE,56.81041,False,
578428-mythen_summed.xye,Glu,0.4,2.16,9.58,3.22,4.15,4.99264,17.09219,TRUE,4.12704,8.47471,TRUE,57.73498,False,
578429-mythen_summed.xye,Glu,0.45,2.16,9.58,3.22,4.15,4.99227,17.09363,TRUE,4.12622,8.47427,TRUE,58.9139,False,
578430-mythen_summed.xye,Glu,0.5,2.16,9.58,3.22,4.15,4.9916,17.11626,TRUE,4.12663,8.47498,TRUE,51.51262,False,
578593-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.99569,17.0598,TRUE,4.12741,8.47205,TRUE,56.34326,False,
578595-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99114,17.07036,TRUE,4.12696,8.47348,TRUE,56.52244,False,
578596-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99192,17.08664,TRUE,4.12705,8.47447,TRUE,66.56843,False,
578597-mythen_summed.xye,Glu,0.3,2.16,9.58,3.22,4.15,4.99385,17.09097,TRUE,4.12776,8.47588,TRUE,58.30495,False,
578598-mythen_summed.xye,Glu,0.35,2.16,9.58,3.22,4.15,4.99325,17.08272,TRUE,4.12545,8.47574,TRUE,60.32118,False,
578599-mythen_summed.xye,Glu,0.4,2.16,9.58,3.22,4.15,4.99244,17.09243,TRUE,4.12477,8.47832,TRUE,57.08204,False,
578600-mythen_summed.xye,Glu,0.45,2.16,9.58,3.22,4.15,4.99179,17.09785,TRUE,4.12652,8.47494,TRUE,54.81142,False,
578767-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.99145,17.09605,TRUE,4.12639,8.4745,TRUE,56.58602,False,
578768-mythen_summed.xye,Glu,0.1,2.16,9.58,3.22,4.15,4.99171,17.10183,TRUE,4.12648,8.47594,TRUE,58.71815,False,
578769-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99774,17.05573,TRUE,4.1278,8.47208,TRUE,56.00106,False,
578770-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99432,17.07524,TRUE,4.12769,8.47294,TRUE,59.90132,False,
578771-mythen_summed.xye,Glu,0.3,2.16,9.58,3.22,4.15,4.99384,17.08824,TRUE,4.12687,8.4744,TRUE,56.41244,False,
578772-mythen_summed.xye,Glu,0.35,2.16,9.58,3.22,4.15,4.99407,17.09526,TRUE,4.12745,8.47551,TRUE,59.28205,False,
578773-mythen_summed.xye,Glu,0.4,2.16,9.58,3.22,4.15,4.99336,17.09804,TRUE,4.12702,8.474,TRUE,58.52308,False,
578774-mythen_summed.xye,Glu,0.45,2.16,9.58,3.22,4.15,4.9936,17.0997,TRUE,4.12626,8.47535,TRUE,56.12889,False,
578775-mythen_summed.xye,Glu,0.5,2.16,9.58,3.22,4.15,4.99255,17.10218,TRUE,4.12558,8.47532,TRUE,71.35588,False,
578958-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.99229,17.08359,TRUE,4.126,8.47434,TRUE,59.48972,False,
578959-mythen_summed.xye,Glu,0.1,2.16,9.58,3.22,4.15,4.99271,17.09546,TRUE,4.12563,8.47648,TRUE,55.75392,False,
578960-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99929,17.05095,TRUE,4.12701,8.47329,TRUE,56.18629,False,
578961-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99651,17.06271,TRUE,4.12771,8.47207,TRUE,54.72669,False,
578962-mythen_summed.xye,Glu,0.3,2.16,9.58,3.22,4.15,4.99454,17.07689,TRUE,4.12732,8.47219,TRUE,57.33449,False,
578963-mythen_summed.xye,Glu,0.35,2.16,9.58,3.22,4.15,4.99368,17.08923,TRUE,4.1264,8.47433,TRUE,56.50068,False,
578964-mythen_summed.xye,Glu,0.4,2.16,9.58,3.22,4.15,4.99341,17.09047,TRUE,4.12557,8.47495,TRUE,56.08162,False,
579131-mythen_summed.xye,Glu,0,2.16,9.58,3.22,4.15,4.99278,17.09274,TRUE,4.12619,8.47446,TRUE,56.16686,False,
579132-mythen_summed.xye,Glu,0.1,2.16,9.58,3.22,4.15,4.99329,17.08175,TRUE,4.12798,8.47117,TRUE,58.76551,False,
579133-mythen_summed.xye,Glu,0.2,2.16,9.58,3.22,4.15,4.99666,17.05588,TRUE,4.12872,8.46956,TRUE,58.88644,False,
579134-mythen_summed.xye,Glu,0.25,2.16,9.58,3.22,4.15,4.99601,17.05674,TRUE,4.12846,8.46956,TRUE,54.09265,False,
579135-mythen_summed.xye,Glu,0.3,2.16,9.58,3.22,4.15,4.99794,17.05724,TRUE,4.12915,8.47007,TRUE,56.71922,False,
579136-mythen_summed.xye,Glu,0.35,2.16,9.58,3.22,4.15,4.99272,17.06597,TRUE,4.12939,8.46653,TRUE,59.24581,False,
579137-mythen_summed.xye,Glu,0.4,2.16,9.58,3.22,4.15,4.99638,17.05806,TRUE,4.12869,8.47025,TRUE,55.17047,False,
579138-mythen_summed.xye,Glu,0.45,2.16,9.58,3.22,4.15,4.99542,17.06105,TRUE,4.12954,8.46931,TRUE,54.90977,False,
579139-mythen_summed.xye,Glu,0.5,2.16,9.58,3.22,4.15,4.99566,17.05608,TRUE,4.12827,8.46927,TRUE,53.87015,False,
578651-mythen_summed.xye,Gln,0,2.16,9.58,3.22,4.15,4.99629,17.05944,TRUE,4.12961,8.469,TRUE,58.01544,False,
578652-mythen_summed.xye,Gln,0.2,2.16,9.58,3.22,4.15,4.99486,17.05806,TRUE,4.12872,8.46814,TRUE,56.69042,False,
578653-mythen_summed.xye,Gln,0.25,2.18,9,5.65,,4.99713,17.05228,TRUE,4.12568,8.47256,TRUE,55.65865,False,
578654-mythen_summed.xye,Gln,0.5,2.18,9,5.65,,4.99586,17.05952,TRUE,4.1276,8.47193,TRUE,56.56049,False,
578655-mythen_summed.xye,Gln,0.75,2.18,9,5.65,,4.99511,17.06146,TRUE,4.12616,8.47403,TRUE,57.39533,False,
578656-mythen_summed.xye,Gln,1,2.18,9,5.65,,4.99582,17.06586,TRUE,4.12652,8.47406,TRUE,56.68472,False,
578657-mythen_summed.xye,Gln,1.25,2.18,9,5.65,,4.99627,17.07278,TRUE,4.12841,8.47154,TRUE,57.51004,False,
578658-mythen_summed.xye,Gln,1.5,2.18,9,5.65,,4.99557,17.07564,TRUE,4.12652,8.47368,TRUE,55.34278,False,
578659-mythen_summed.xye,Gln,1.7,2.18,9,5.65,,4.99528,17.07603,TRUE,4.12669,8.47316,TRUE,57.91176,False,
578817-mythen_summed.xye,Gln,0.25,2.18,9,5.65,,4.99525,17.0809,TRUE,4.12713,8.47242,TRUE,65.63607,False,
578818-mythen_summed.xye,Gln,0.5,2.18,9,5.65,,4.99526,17.08434,TRUE,4.12677,8.47462,TRUE,64.32415,False,
578819-mythen_summed.xye,Gln,0.75,2.18,9,5.65,,4.99618,17.06673,TRUE,,,FALSE,100,False,
578820-mythen_summed.xye,Gln,1,2.18,9,5.65,,4.99605,17.07076,TRUE,4.12802,8.4749,TRUE,59.38323,False,
578821-mythen_summed.xye,Gln,1.5,2.18,9,5.65,,4.99669,17.06351,TRUE,,,FALSE,57.68564,False,
578822-mythen_summed.xye,Gln,1.7,2.18,9,5.65,,4.99571,17.07081,TRUE,4.1276,8.47335,TRUE,60.055,False,
579167-mythen_summed.xye,Gln,0,2.18,9,5.65,,4.99506,17.0783,TRUE,4.12663,8.47223,TRUE,57.77073,False,
579168-mythen_summed.xye,Gln,0.2,2.18,9,5.65,,4.99429,17.08258,TRUE,,,FALSE,58.76563,False,
579169-mythen_summed.xye,Gln,0.25,2.18,9,5.65,,4.99688,17.05536,TRUE,4.12767,8.47301,TRUE,59.53654,False,
579170-mythen_summed.xye,Gln,0.5,2.18,9,5.65,,4.9964,17.06108,TRUE,4.12716,8.47324,TRUE,61.1891,False,
579171-mythen_summed.xye,Gln,0.75,2.18,9,5.65,,4.99622,17.0617,TRUE,4.12698,8.47419,TRUE,57.75416,False,
579172-mythen_summed.xye,Gln,1,2.18,9,5.65,,4.99658,17.07,TRUE,4.12751,8.47497,TRUE,55.29503,False,
579173-mythen_summed.xye,Gln,1.25,2.18,9,5.65,,4.99517,17.07714,TRUE,4.1274,8.47383,TRUE,61.47879,False,
579174-mythen_summed.xye,Gln,1.5,2.18,9,5.65,,4.99494,17.07582,TRUE,4.12682,8.4733,TRUE,58.23245,False,
579175-mythen_summed.xye,Gln,1.7,2.18,9,5.65,,4.99596,17.08302,TRUE,4.12799,8.47409,TRUE,55.69205,False,
578530-mythen_summed.xye,Gly,0,2.18,9,5.65,,4.99561,17.08475,TRUE,4.12745,8.47432,TRUE,58.47913,False,
578531-mythen_summed.xye,Gly,0.25,2.18,9,5.65,,4.99462,17.08454,TRUE,4.12702,8.47233,TRUE,61.63226,False,
578532-mythen_summed.xye,Gly,0.5,2.34,9.58,5.97,,4.9957,17.05699,TRUE,4.12724,8.47112,TRUE,59.06292,False,
578533-mythen_summed.xye,Gly,0.75,2.34,9.58,5.97,,4.99597,17.06554,TRUE,4.12735,8.47353,TRUE,58.74591,False,
578534-mythen_summed.xye,Gly,1,2.34,9.58,5.97,,4.99524,17.06567,TRUE,4.12602,8.47471,TRUE,57.73229,False,
578535-mythen_summed.xye,Gly,1.25,2.34,9.58,5.97,,4.99636,17.08268,TRUE,4.12658,8.47526,TRUE,56.69882,False,
578536-mythen_summed.xye,Gly,1.5,2.34,9.58,5.97,,4.99588,17.08171,TRUE,4.1265,8.47487,TRUE,56.78035,False,
578537-mythen_summed.xye,Gly,1.75,2.34,9.58,5.97,,4.99498,17.08436,TRUE,4.12789,8.47384,TRUE,56.77387,False,
578701-mythen_summed.xye,Gly,0.25,2.34,9.58,5.97,,4.99415,17.08458,TRUE,4.12767,8.4725,TRUE,61.06827,False,
578703-mythen_summed.xye,Gly,0.75,2.34,9.58,5.97,,4.99408,17.08559,TRUE,4.12706,8.47456,TRUE,61.33711,False,
578704-mythen_summed.xye,Gly,1,2.34,9.58,5.97,,4.99565,17.05961,TRUE,4.12806,8.47261,TRUE,55.92146,False,
578705-mythen_summed.xye,Gly,1.25,2.34,9.58,5.97,,4.9947,17.06129,TRUE,4.12837,8.47069,TRUE,59.18059,False,
578706-mythen_summed.xye,Gly,1.5,2.34,9.58,5.97,,4.99161,17.06522,TRUE,4.12809,8.46991,TRUE,59.41851,False,
578707-mythen_summed.xye,Gly,1.75,2.34,9.58,5.97,,4.99482,17.06741,TRUE,4.12698,8.47443,TRUE,55.5282,False,
578883-mythen_summed.xye,Gly,0,2.34,9.58,5.97,,4.99686,17.06241,TRUE,4.12863,8.47232,TRUE,58.61663,False,
578884-mythen_summed.xye,Gly,0.25,2.34,9.58,5.97,,4.99467,17.06098,TRUE,4.12832,8.46943,TRUE,61.27171,False,
578885-mythen_summed.xye,Gly,0.5,2.34,9.58,5.97,,4.99692,17.05698,TRUE,4.1283,8.47151,TRUE,57.51555,False,
578886-mythen_summed.xye,Gly,0.75,2.34,9.58,5.97,,4.99556,17.09389,TRUE,4.12966,8.47291,TRUE,57.68903,False,
578887-mythen_summed.xye,Gly,1,2.34,9.58,5.97,,4.99629,17.07708,TRUE,4.12828,8.47119,TRUE,57.35525,False,
578888-mythen_summed.xye,Gly,1.25,2.34,9.58,5.97,,4.99589,17.07693,TRUE,4.12821,8.47105,TRUE,55.79937,False,
578889-mythen_summed.xye,Gly,1.5,2.34,9.58,5.97,,4.99511,17.08272,TRUE,4.12817,8.47216,TRUE,55.88579,False,
578890-mythen_summed.xye,Gly,1.75,2.34,9.58,5.97,,4.99451,17.08333,TRUE,4.12879,8.47117,TRUE,77.74826,False,
578891-mythen_summed.xye,Gly,2,2.34,9.58,5.97,,4.99413,17.08501,TRUE,4.12814,8.47232,TRUE,61.72296,False,
579093-mythen_summed.xye,Gly,0,2.34,9.58,5.97,,4.99505,17.08915,TRUE,4.12946,8.47336,TRUE,56.43458,False,
579094-mythen_summed.xye,Gly,0.25,2.34,9.58,5.97,,4.99467,17.08834,TRUE,4.1295,8.47271,TRUE,56.8322,False,
579095-mythen_summed.xye,Gly,0.5,2.34,9.58,5.97,,4.99354,17.06342,TRUE,4.12934,8.4677,TRUE,51.93493,False,
579096-mythen_summed.xye,Gly,0.75,2.34,9.58,5.97,,4.99727,17.06701,TRUE,4.12896,8.47177,TRUE,52.89019,False,
579097-mythen_summed.xye,Gly,1,2.34,9.58,5.97,,4.9949,17.0743,TRUE,4.12966,8.4706,TRUE,56.0998,False,
579098-mythen_summed.xye,Gly,1.25,2.34,9.58,5.97,,4.99509,17.0879,TRUE,4.12971,8.47178,TRUE,55.18176,False,
579099-mythen_summed.xye,Gly,1.5,2.34,9.58,5.97,,4.99608,17.09037,TRUE,4.12899,8.47246,TRUE,48.39494,False,
579100-mythen_summed.xye,Gly,1.75,2.34,9.58,5.97,,4.99471,17.08492,TRUE,4.1294,8.47168,TRUE,58.07728,False,
579101-mythen_summed.xye,Gly,2,2.34,9.58,5.97,,4.99496,17.0986,TRUE,4.12991,8.47075,TRUE,53.26375,False,
578566-mythen_summed.xye,GltAci,0,2.34,9.58,5.97,,4.99504,17.09123,TRUE,4.12998,8.47249,TRUE,55.75903,False,
578928-mythen_summed.xye,GltAci,0,2.34,9.58,5.97,,4.99484,17.09451,TRUE,4.12934,8.47146,TRUE,56.79768,False,
578929-mythen_summed.xye,GltAci,0.25,2.13,4.31,,9.67,4.99648,17.05481,TRUE,4.12746,8.47068,TRUE,60.23026,False,
578432-mythen_summed.xye,His,0,2.13,4.31,,9.67,4.99452,17.0609,TRUE,4.1281,8.47298,TRUE,60.68975,False,
578433-mythen_summed.xye,His,0.25,2.13,4.31,,9.67,4.99282,17.06723,TRUE,,,FALSE,58.37132,False,
578434-mythen_summed.xye,His,0.5,1.7,9.09,7.59,6.04,4.99787,17.05574,TRUE,,,FALSE,58.94052,False,
578435-mythen_summed.xye,His,0.75,1.7,9.09,7.59,6.04,4.99624,17.05812,TRUE,,,FALSE,58.66258,False,
578436-mythen_summed.xye,His,1,1.7,9.09,7.59,6.04,4.99605,17.06546,TRUE,,,FALSE,58.62431,False,
578437-mythen_summed.xye,His,1.25,1.7,9.09,7.59,6.04,4.99548,17.06786,TRUE,,,FALSE,54.40062,False,
578438-mythen_summed.xye,His,1.5,1.7,9.09,7.59,6.04,4.99473,17.0695,TRUE,4.12851,8.46836,TRUE,56.23863,False,
578439-mythen_summed.xye,His,1.75,1.7,9.09,7.59,6.04,4.99193,17.06889,TRUE,4.12854,8.46939,TRUE,59.82117,False,
578440-mythen_summed.xye,His,2,1.7,9.09,7.59,6.04,4.99504,17.07598,TRUE,4.12865,8.46939,TRUE,57.40382,False,
578613-mythen_summed.xye,His,0,1.7,9.09,7.59,6.04,4.9961,17.0819,TRUE,4.12945,8.47045,TRUE,59.7286,False,
578614-mythen_summed.xye,His,0.25,1.7,9.09,7.59,6.04,4.99465,17.0767,TRUE,4.12876,8.46997,TRUE,59.75526,False,
578615-mythen_summed.xye,His,0.5,1.7,9.09,7.59,6.04,4.99525,17.05752,TRUE,,,FALSE,62.27691,False,
578616-mythen_summed.xye,His,0.75,1.7,9.09,7.59,6.04,4.99427,17.06377,TRUE,,,FALSE,63.0176,False,
578617-mythen_summed.xye,His,1.25,1.7,9.09,7.59,6.04,4.99363,17.0672,TRUE,4.12885,8.46883,TRUE,56.61859,False,
578618-mythen_summed.xye,His,1.5,1.7,9.09,7.59,6.04,4.99409,17.07446,TRUE,4.1283,8.47195,TRUE,55.04136,False,
578619-mythen_summed.xye,His,1.75,1.7,9.09,7.59,6.04,4.99302,17.07391,TRUE,4.12819,8.47003,TRUE,57.82623,False,
578620-mythen_summed.xye,His,2,1.7,9.09,7.59,6.04,4.99289,17.07495,TRUE,4.12849,8.4699,TRUE,55.7899,False,
578777-mythen_summed.xye,His,0,1.7,9.09,7.59,6.04,4.99474,17.08208,TRUE,4.12859,8.47016,TRUE,59.55584,False,
578778-mythen_summed.xye,His,0.25,1.7,9.09,7.59,6.04,4.9934,17.08564,TRUE,4.1272,8.47314,TRUE,59.13967,False,
578779-mythen_summed.xye,His,0.5,1.7,9.09,7.59,6.04,4.99526,17.05958,TRUE,4.12829,8.46584,TRUE,58.80004,False,
578780-mythen_summed.xye,His,0.75,1.7,9.09,7.59,6.04,4.99566,17.06182,TRUE,4.12872,8.46781,TRUE,59.79325,False,
578781-mythen_summed.xye,His,1,1.7,9.09,7.59,6.04,4.99436,17.06495,TRUE,4.12777,8.47049,TRUE,58.30449,False,
578782-mythen_summed.xye,His,1.25,1.7,9.09,7.59,6.04,4.99607,17.07223,TRUE,4.12851,8.47211,TRUE,55.2219,False,
578783-mythen_summed.xye,His,1.5,1.7,9.09,7.59,6.04,4.99502,17.07079,TRUE,4.12767,8.47142,TRUE,58.02704,False,
578784-mythen_summed.xye,His,1.75,1.7,9.09,7.59,6.04,4.99526,17.07687,TRUE,4.12805,8.47078,TRUE,56.36762,False,
578785-mythen_summed.xye,His,2,1.7,9.09,7.59,6.04,4.99526,17.07986,TRUE,4.12717,8.47305,TRUE,57.9451,False,
578977-mythen_summed.xye,His,0,1.7,9.09,7.59,6.04,4.99467,17.0801,TRUE,4.1281,8.47011,TRUE,66.31452,False,
578978-mythen_summed.xye,His,0.25,1.7,9.09,7.59,6.04,4.99481,17.07737,TRUE,4.12688,8.47227,TRUE,55.60946,False,
578979-mythen_summed.xye,His,0.5,1.7,9.09,7.59,6.04,4.99863,17.05738,TRUE,4.12753,8.47572,TRUE,59.35391,False,
578980-mythen_summed.xye,His,0.75,1.7,9.09,7.59,6.04,4.9956,17.06031,TRUE,4.12743,8.47201,TRUE,56.43134,False,
578981-mythen_summed.xye,His,1,1.7,9.09,7.59,6.04,4.99667,17.06825,TRUE,4.12797,8.47415,TRUE,54.22752,False,
578982-mythen_summed.xye,His,1.25,1.7,9.09,7.59,6.04,4.99524,17.07102,TRUE,4.12666,8.47427,TRUE,55.4106,False,
578984-mythen_summed.xye,His,1.75,1.7,9.09,7.59,6.04,4.99506,17.0731,TRUE,4.1273,8.47224,TRUE,55.87652,False,
579150-mythen_summed.xye,His,0,1.7,9.09,7.59,6.04,4.99502,17.07734,TRUE,4.126,8.47494,TRUE,74.08128,False,
579151-mythen_summed.xye,His,0.5,1.7,9.09,7.59,6.04,4.99496,17.08166,TRUE,4.12592,8.47489,TRUE,60.17736,False,
579152-mythen_summed.xye,His,0.75,1.7,9.09,7.59,6.04,4.99132,17.08119,TRUE,,,FALSE,59.3014,False,
579153-mythen_summed.xye,His,1.5,1.7,9.09,7.59,6.04,4.9949,17.06658,TRUE,4.12874,8.46965,TRUE,62.26214,False,
579154-mythen_summed.xye,His,1.75,1.7,9.09,7.59,6.04,4.9948,17.07172,TRUE,4.12888,8.47176,TRUE,54.51678,False,
579155-mythen_summed.xye,His,2,1.7,9.09,7.59,6.04,4.99574,17.07966,TRUE,4.12868,8.47221,TRUE,58.78504,False,
578676-mythen_summed.xye,Ile,0,1.7,9.09,7.59,6.04,4.9949,17.0813,TRUE,4.12818,8.47099,TRUE,59.97557,True,
578677-mythen_summed.xye,Ile,0.25,1.7,9.09,7.59,6.04,4.99539,17.08459,TRUE,4.12869,8.47152,TRUE,60.47304,True,
578678-mythen_summed.xye,Ile,0.5,2.26,9.6,6.02,,4.99692,17.05645,TRUE,4.12732,8.47342,TRUE,59.2742,True,
